feature,fscore
cat76,0.0002405002405002405
cat60,0.0002405002405002405
cat30,0.0002405002405002405
cat66,0.0002405002405002405
cat88,0.0002405002405002405
cat54,0.0002405002405002405
cat29,0.0002405002405002405
cat77,0.000481000481000481
cat102,0.000481000481000481
cat40,0.000481000481000481
cat28,0.000481000481000481
cat84,0.000481000481000481
cat93,0.000481000481000481
cat39,0.000481000481000481
cat61,0.0007215007215007215
cat90,0.0007215007215007215
cat97,0.000962000962000962
cat89,0.000962000962000962
cat86,0.000962000962000962
cat8,0.000962000962000962
cat80,0.0012025012025012026
cat41,0.0012025012025012026
cat98,0.001443001443001443
cat106,0.001443001443001443
cat99,0.0016835016835016834
cat104,0.0016835016835016834
cat31,0.0016835016835016834
cat9,0.001924001924001924
cat7,0.001924001924001924
cat52,0.0021645021645021645
cat49,0.002405002405002405
cat3,0.0026455026455026454
cat37,0.002886002886002886
cat23,0.002886002886002886
cat25,0.002886002886002886
cat57,0.003367003367003367
cat27,0.003367003367003367
cat36,0.0036075036075036075
cat95,0.003848003848003848
cat82,0.004329004329004329
cat115,0.004329004329004329
cat12,0.00481000481000481
cat79,0.005050505050505051
cat11,0.005050505050505051
cat26,0.005531505531505531
cat50,0.005531505531505531
cat116,0.005772005772005772
cat10,0.005772005772005772
cat38,0.006012506012506013
cat107,0.006012506012506013
cat44,0.006253006253006253
cat13,0.006253006253006253
cat6,0.006493506493506494
cat105,0.006493506493506494
cont10,0.007455507455507456
cat110,0.007455507455507456
cat73,0.007936507936507936
cat1,0.008177008177008177
cat109,0.008417508417508417
cat108,0.008417508417508417
cat92,0.008658008658008658
cat75,0.008658008658008658
cat53,0.009860509860509861
cont5,0.010822510822510822
cat113,0.011303511303511303
cat94,0.011544011544011544
cat5,0.012506012506012507
cat91,0.012746512746512747
cont4,0.012746512746512747
cont6,0.013227513227513227
cont9,0.013227513227513227
cat4,0.013227513227513227
cat87,0.013708513708513708
cat114,0.01418951418951419
cat112,0.016594516594516596
cont8,0.017797017797017797
cat81,0.018999518999519
cat2,0.01948051948051948
cont13,0.020202020202020204
cont1,0.021645021645021644
cat72,0.021885521885521887
cat111,0.023328523328523327
cat103,0.02886002886002886
cont11,0.031024531024531024
cat101,0.03583453583453584
cont12,0.04184704184704185
cont3,0.045454545454545456
cat100,0.05170755170755171
cont14,0.08104858104858105
cont2,0.08417508417508418
cont7,0.08754208754208755
